edgeid	co2 (g)	co (g)	nox (g)	vocs (g)	pm10 (g)	pm25 (g)	ghg_cost (€/veh)	nox_cost (€/veh)	noise_cost (€/veh)	tc_cost (€/veh)	rc_cost (€/veh)	emissions_indicator (€/veh)	eco_indicator (€/veh)	totalvehicles	totalrouting	speed (km/h)	ttime (s)	length (km)
507522243#0	231.187787251686	1.3064856814428	0.728754868881363	0.262984249177337	0.066885835753342	0.0502985822954371	0.000251093999057906	0	0	0.044472	0	0.000251093999057906	0.0447230939990579	59	0	32.616	2.04525386313466	0.01853
507522243#3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0273
507522243#4	41.7712171329624	0.23814717536268	0.128668436356988	0.0452384411263571	0.0106441672160504	0.00858439237221026	0.000918432042550255	0	0	0	0	0.000918432042550255	0.000918432042550255	3	0	15.444	10.6899766899767	0.04586
51230332#0	183.34851980516	1.01152683183744	0.579262901252561	0.203815569316116	0.0521624138632038	0.0405407732240097	0.000163825630123245	0	0	0.025776	0	0.000163825630123245	0.0259398256301232	72	0	26.568	1.45528455284553	0.01074
51230332#1	1159.80480831836	6.409834462584	3.64728900124579	1.27646236154263	0.32205345464694	0.253999588230335	0.00104261636205234	0	0	0	0	0.00104261636205234	0.00104261636205234	72	0	23.076	9.84399375975039	0.0631
51230332#2	270.846406974281	1.67184776542896	0.784957166074973	0.288321216902226	0.0561492511629272	0.0457745066694415	0.000256592555043663	0	0	0.022632	0	0.000256592555043663	0.0228885925550437	72	0	3.924	8.65137614678899	0.00943
51230332#3	267.579885518672	1.6684459167024	0.767442030274273	0.284307383961978	0.0538034304065001	0.0438365501651509	0.000254496468273923	0	0	0.021648	0	0.000254496468273923	0.0219024964682739	72	0	2.556	12.7042253521127	0.00902
518375238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001
518450433#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001
519421627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01766
