junction	edge
137992807	:137992807_0
137992807	:137992807_1
137992807	:137992807_2
137992807	:137992807_3
137992807	:137992807_3
137992807	:137992807_5
137992807	:137992807_6
137992808	:137992808_0
137992808	:137992808_0
137992808	:137992808_2
137992808	:137992808_3
137993129	:137993129_0
137993249	:137993249_0
137993249	:137993249_1
137994583	:137994583_0
137994583	:137994583_1
137994720	:137994720_0
137994720	:137994720_0
137994720	:137994720_0
138194386	:138194386_0
138194386	:138194386_0
138194473	:138194473_0
138194473	:138194473_1
138194473	:138194473_1
138195667	:138195667_0
138196470	:138196470_0
138196470	:138196470_1
138196470	:138196470_1
138196470	:138196470_1
138196594	:138196594_0
138196594	:138196594_0
138197779	:138197779_0
138197779	:138197779_4
138197779	:138197779_2
138197779	:138197779_5
138205495	:138205495_0
138205495	:138205495_0
138205498	:138205498_0
138205498	:138205498_0
138205498	:138205498_2
138208397	:138208397_0
138208397	:138208397_1
138208872	:138208872_0
138208872	:138208872_4
138208872	:138208872_2
138208872	:138208872_3
138209120	:138209120_0
138214591	:138214591_0
138214591	:138214591_0
138216828	:138216828_0
138218138	:138218138_0
138218138	:138218138_1
138218138	:138218138_2
138218138	:138218138_3
