edgeid	co2 (g)	co (g)	nox (g)	vocs (g)	pm10 (g)	pm25 (g)	ghg_cost (€/veh)	nox_cost (€/veh)	noise_cost (€/veh)	tc_cost (€/veh)	rc_cost (€/veh)	emissions_indicator (€/veh)	eco_indicator (€/veh)	totalvehicles	totalrouting	speed (km/h)	ttime (s)	length (km)
704509573#8	2135.03143150503	14.83631436528	5.93840194118885	2.65824695251351	0.558988983726769	0.372995317492631	0.00105405654172815	0	0	0	0	0.00105405654172815	0.00105405654172815	135	0	46.836	6.73943120676403	0.08768
704509573#9	1989.27126439051	13.8536161037208	5.52117083250523	2.47891851609585	0.520059463349127	0.346634020135788	0.000982664902422778	0	0	0.08173	0	0.000982664902422778	0.0827126649024228	135	0	46.944	6.26763803680982	0.08173
705491645#0	478.164869175133	2.64239290664034	1.51174678614183	0.533489201003249	0.136798906566785	0.105754820659997	0.000388836572953385	0	0	0.062664	0	0.000388836572953385	0.0630528365729534	79	0	27.684	3.39531859557867	0.02611
705491645#1	3625.13188048764	20.0689151076156	11.4636343622054	4.055173079208	1.04040279195839	0.801251636432166	0.00294553140170298	0	0	0	0	0.00294553140170298	0.00294553140170298	79	0	28.44	25.4341772151899	0.20093
705491645#2	288.57764598525	1.5967687005675	0.906522300144141	0.3171409580925	0.0797359509773438	0.0630212955059531	0.0002367164655945	0	0	0.033912	0	0.0002367164655945	0.0341487164655945	79	0	22.5	2.2608	0.01413
705491645#3	3809.31348950123	21.0654744549252	12.0448362040223	4.25476866223448	1.0913572774856	0.842336016629229	0.00309655700853373	0	0	0	0	0.00309655700853373	0.00309655700853373	79	0	28.008	26.9087403598972	0.20935
705491645#4	294.736282866669	1.62807517365012	0.931731458968411	0.328598719017522	0.0842376165401434	0.0651903069842763	0.000242809762897123	0	0	0.038952	0	0.000242809762897123	0.0391948097628971	78	0	27.468	2.12712975098296	0.01623
705491645#5	1092.92452441925	7.23479920828704	3.1714952116838	1.33468186165434	0.29523529906168	0.201967745432301	0.000922499253070578	0	0	0	0	0.000922499253070578	0.000922499253070578	78	0	44.352	6.21996753246753	0.07663
705491645#6	405.068643173433	2.83956976635696	1.11689339873503	0.506097084133645	0.10542519391803	0.0700344724493695	0.000346931943822945	0	0	0.069216	0	0.000346931943822945	0.0695629319438229	78	0	47.268	2.1964965727342	0.02884
705491646#0	2493.0144782566	17.1496458867136	7.00119574756501	3.09149039224025	0.657140043123092	0.440753357641227	0.00124598605139267	0	0	0	0	0.00124598605139267	0.00124598605139267	133	11	46.332	8.05672105672106	0.10369
705491646#1	2147.46000568772	12.075729378888	6.67168445289498	2.33687192796324	0.5661163330248	0.453759543418405	0.00105757430275303	0	0	0.135552	0	0.00105757430275303	0.136609574302753	133	11	18.036	11.2734530938124	0.05648
705491647#0	2079.29518178489	13.354619293626	6.16742623990216	2.5085553473228	0.571795922291859	0.397389595054362	0.00118214195071305	0	0	0	0	0.00118214195071305	0.00118214195071305	115	0	42.696	8.2318718381113	0.09763
705491647#1	142.105867300419	0.9910919074728	0.393843810504522	0.177187147337628	0.0371143775853776	0.0247194384887667	0.000120004874905584	0	0	0.023952	0	0.000120004874905584	0.0240720048749056	79	0	47.016	0.76416539050536	0.00998
705491647#2	1309.01850919922	9.14952667285038	3.62001505645912	1.63359610449452	0.341373258668053	0.227113317237142	0.001106081571526	0	0	0	0	0.001106081571526	0.001106081571526	79	0	47.124	7.02597402597403	0.09197
705491648	1618.4841229908	10.0063293236319	4.6831676192197	1.72239476553699	0.333943907522864	0.272223454009988	0.000830579312661876	2.41926989761601e-05	0.00409757269887046	0.07284	0.390269528620586	0.000854772011638036	0.468061873331094	133	11	3.708	29.4660194174757	0.03035
706644343#0	160.788620945223	1.12631825582736	0.443670701925289	0.20083240837148	0.0418686263390248	0.0278238809867651	0.000290253948477061	0	0	0	0	0.000290253948477061	0.000290253948477061	37	0	47.232	1.83917682926829	0.02413
706644343#1	152.709090160639	0.97586521945848	0.454475604654464	0.183858151775343	0.0421137616462646	0.0293467860047234	0.000269547113062168	0	0	0.02223	0	0.000269547113062168	0.0224995471130622	37	0	42.408	1.88709677419355	0.02223
